id,age,hours,score,group,condition,w,item1,item2,item3,item4
93,52.4,46.4,47.367,1,2,1,2,2,5,3
94,44.3,52.7,44.678,1,2,1,4,4,2,99
95,63.5,25.1,33.269,2,1,1,4,2,4,5
96,42.9,37.2,58.833,1,1,2,3,5,4,99
97,52.5,32.8,41.231,1,1,1,5,2,1,2
98,30.5,37.7,63.024,1,1,2,4,5,5,99
99,54.6,41.8,50.998,1,1,1,2,3,1,99
100,45.0,33.2,44.857,2,3,1,3,1,5,3
101,34.3,49.5,53.823,2,3,2,3,3,3,5
102,49.5,47.3,49.718,1,1,1,5,3,2,3
103,38.7,39.7,28.95,2,3,1,5,3,2,3
104,63.4,18.5,46.308,2,2,1,4,3,1,1
105,46.8,33.6,51.498,1,1,1,3,5,4,2
106,41.6,,56.283,1,1,2,2,1,2,2
107,69.2,40.9,40.634,2,2,1,1,5,3,3
108,46.7,26.8,58.961,2,2,2,2,4,2,1
109,28.5,43.3,36.47,2,1,1,1,3,5,5
110,51.5,34.2,50.21,1,3,1,1,4,5,3
111,30.8,35.6,45.99,1,2,1,1,1,5,5
112,71.0,48.8,66.562,2,1,3,3,1,4,4
113,40.8,40.9,46.482,1,2,1,4,4,1,2
114,37.7,41.1,47.144,2,1,1,1,3,1,1
115,36.2,44.1,18.204,2,1,1,5,2,2,4
116,44.6,28.0,52.137,1,2,2,4,5,4,5
117,35.5,46.8,50.937,1,2,1,3,1,2,1
118,51.9,,31.28,1,1,1,1,5,1,1
119,47.0,31.4,54.911,1,2,2,4,4,3,3
120,30.7,32.4,50.382,1,1,1,1,4,1,4
121,20.5,30.8,56.664,1,3,2,2,2,5,1
122,63.5,44.0,47.508,1,1,1,5,4,3,5
123,31.2,32.1,78.283,2,2,4,3,2,1,3
124,37.5,40.2,71.118,2,3,3,4,1,5,5
125,18,36.2,54.312,1,1,2,2,4,3,2
126,63.1,40.9,56.123,1,2,2,4,3,5,5
127,63.1,19.3,53.848,1,3,2,4,1,1,5
128,40.0,38.0,61.93,1,2,2,1,1,5,3
129,35.8,36.5,29.505,2,3,1,4,5,5,3
130,53.6,40.7,69.004,2,1,3,1,2,2,2
131,45.8,28.3,53.418,2,1,2,1,3,2,2
132,44.0,42.4,82.969,2,1,4,5,3,1,5
133,29.5,19.3,82.049,2,3,4,3,5,2,4
134,27.5,35.3,40.095,1,2,1,1,2,5,2
135,26.2,38.3,61.374,2,3,2,4,1,2,1
136,21.2,40.7,37.96,1,3,1,2,1,4,5
137,49.2,30.0,50.609,1,2,1,5,5,2,99
138,42.7,50.7,70.973,1,2,3,2,2,4,3
139,,35.4,46.054,2,3,1,2,4,5,4
140,50.4,48.9,32.905,1,2,1,2,3,4,2
141,73.8,35.5,48.362,1,3,1,1,5,5,5
142,42.4,47.2,,1,1,2,1,3,3,2
143,38.9,35.8,57.042,1,1,2,2,2,4,2
144,30.7,47.6,63.036,2,1,2,4,2,4,1
145,38.7,34.7,51.923,1,1,1,2,1,4,5
146,40.2,29.7,30.656,2,2,1,5,4,5,4
147,43.2,33.8,61.789,2,1,2,2,4,1,5
148,54.7,39.3,39.594,1,2,1,2,2,1,5
149,51.0,44.7,44.818,2,2,1,5,2,4,2
150,23.0,40.7,74.996,2,3,3,3,3,5,3
151,59.0,39.2,51.614,1,1,1,5,5,5,5
152,36.2,30.4,40.465,1,2,1,4,3,1,4
153,42.1,34.4,57.353,2,2,2,3,3,2,99
154,44.2,,67.256,1,2,3,5,3,3,4
155,41.4,46.8,50.528,1,1,1,5,5,4,5
156,49.6,53.4,57.769,1,3,2,3,3,5,5
157,45.9,20.4,62.853,2,2,2,1,5,4,3
158,46.2,33.6,48.496,1,1,1,2,3,5,5
159,43.6,30.5,45.237,1,1,1,5,4,2,99
160,23.3,48.7,50.761,1,1,1,4,5,1,2
161,58.2,43.0,36.011,1,1,1,2,5,4,4
162,29.3,27.9,46.488,1,2,1,1,2,3,4
163,39.6,36.6,45.847,2,2,1,1,2,4,3
164,50.8,43.9,48.982,1,1,1,3,5,5,2
165,35.7,42.1,49.003,1,3,1,2,2,2,5
166,32.3,31.4,69.792,2,3,3,1,4,5,5
167,52.1,17.0,52.182,1,3,2,2,5,2,4
168,54.8,30.9,43.503,1,2,1,5,5,3,3
169,54.7,40.1,44.606,1,3,1,1,1,5,5
170,55.3,38.7,44.627,1,1,1,5,3,5,2
171,45.9,44.4,48.528,1,3,1,5,3,5,4
172,36.0,23.0,51.814,1,2,1,2,5,3,2
173,75,48.7,53.52,1,1,2,4,3,5,99
174,41.5,50.2,63.468,2,1,2,2,1,5,5
175,31.3,39.8,71.852,2,2,3,5,3,1,4
176,42.6,30.2,66.688,2,1,3,1,3,1,2
177,42.4,43.4,57.95,2,1,2,4,5,1,4
178,54.7,31.2,45.569,2,2,1,2,1,5,1
179,45.5,45.4,53.264,2,3,2,3,2,2,99
180,18,47.3,62.684,1,2,2,5,2,3,2
